project,sha,text,label,indicator,document_index,subset
nifi,4e2b61efe417da643d5fa234a4bf1abd286b7fb7,"NIFI-6652 UI Fix overflowing text in variables dialog
This closes #3982.",code_debt,low_quality_code,0,train
cxf,f54a690113906bc641082dd4619011eccab76590,Tidying up the binding policy validators a bit more.,code_debt,low_quality_code,2,train
couchdb,7daa0d31e268deed9004d86e3f4ba53867d1b9fd,"Improve error logging on replication write failures
If an error happens when writing a document to the target endpoint,
log it's ID, revision, error and error reason. Also added a few tests
to cover the cases where the target has validate_doc_update functions.",code_debt,low_quality_code,4,train
parquet-mr,a5249795799317be00c454ac880be6c064e2a1c6,Remove the old license.txt,documentation_debt,outdated_documentation,5,train
tinkerpop,e6a0561002c0b2dab2323713b2b150482676ceca,"Set javadoc generation to quiet.
Get rid of some superfluous informational messages to further reduce the log sizes.",code_debt,low_quality_code,6,train
flink,3629ab48d0ec1d8b19e1fe2b73d114c962de8564,[hotfix][yarn] Remove legacy descriptor methods,code_debt,dead_code,7,train
groovy,48562a1188ebae3f09ba6dbb197195f72288d9da,removed Protected test accidently left in,code_debt,dead_code,8,train
cassandra,3ff82cb70fc02b63ea5eb8b6355e5f3aeddebec2,fix typo for CASSANDRA-2873,documentation_debt,low_quality_documentation,9,train
groovy,43d9f2178f0cbfbba971ae64ebe1259e0c5d0061,fix typo in error message,documentation_debt,low_quality_documentation,11,train
tomee,f5416946b7bfb75e93fc3a9c0f099afe539710af,don't download rat.zip if already here,code_debt,low_quality_code,12,train
camel,8ff220763d30c70418876e873135fe7a8dc4922e,CAMEL-791: added missing license,documentation_debt,low_quality_documentation,14,train
accumulo,3ca3d65962e5229a44d67ef46233467d53a7016c,"ACCUMULO-4779 Improved performance of get by prefix in config (#372)
This change improves performance by caching config with a prefix.
Also removed custom method to get VFS config.  Now that getting
config by prefixes is fast, it can used for VFS.",code_debt,slow_algorithm,17,train
couchdb,b96acd90124646468d2e724d05c54c4fcb643bbf,more efficient header commits. COUCHDB-767,code_debt,low_quality_code,19,train
nifi-minifi-cpp,0a06ad12d4d01c52e78b26abb1bedb324f8a773c,"MINIFICPP-299: Shore up HTTP Client code
MINIFICPP-299: Resolve issue with tests taking too long
MINIFICPP-306: Resolve issue with HTTP Client code that impacted large transfers.
Changes were made that increased memory usage, but allow large transfers to succeed.
This closes #189.",code_debt,low_quality_code,20,train
zookeeper,1f33a71457882f9bf3b481b29d4dac2ca0b5d350,"ZOOKEEPER-3599: cli.c: Resuscitate ""old-style"" argument parsing
ZOOKEEPER-2122 added SSL support to the C client and to the `cli_st`/`mt` tools.  It introduced (much-welcome!) GNU-style `getopt_long` argument parsing, but did not try to preserve backwards compatibility.
An earlier version of this https://github.com/apache/zookeeper/pull/1131 introduced (optional) POSIX-style `getopt` argument parsing, and was consequently largely obsoleted by the SSL update.  It did, however, support ""old-style"" arguments to avoid [breaking workflows](https://xkcd.com/1172/).
This patch salvages that feature while preserving the `getopt_long` goodness.  It is ""legacy-only""; adding new positional arguments is not supported—as discussed in this thread: https://github.com/apache/zookeeper/pull/1131#pullrequestreview-320870245.
Closes #1131 from ztzg/ZOOKEEPER-3599-use-getopt-in-cli-c",code_debt,non-optimal_design,21,train
cloudstack,d456f89095e2824a63bb4295d120182ff9fda343,"bug 8866: Direct Network Usage, TrafficSentinel support added, work in progress",requirement_debt,requirement_partially_implemented,23,train
spark,6e1e2eba696e89ba57bf5450b9c72c4386e43dc8,"[SPARK-8240][SQL] string function: concat
Closes #7486 from rxin/concat and squashes the following commits:
5217d6e [Reynold Xin] Removed Hive's concat test.
f5cb7a3 [Reynold Xin] Concat is never nullable.
ae4e61f [Reynold Xin] Removed extra import.
fddcbbd [Reynold Xin] Fixed NPE.
22e831c [Reynold Xin] Added missing file.
57a2352 [Reynold Xin] [SPARK-8240][SQL] string function: concat",code_debt,low_quality_code,24,train
flink,5a093e5f90a142396f7978ee1d8ec51379cbdde6,[hotfix] Resolve compiler warnings in AkkaRpcService,code_debt,low_quality_code,25,train
camel,f7f506f1f355f8d5eca78e7c0d2e85afc9898d55,Add missing spring boot tests,test_debt,lack_of_tests,26,train
trafficcontrol,6c1e5feb4853ded02b4dced8e06569986064659e,"TP: adds a better view for comparing/managing params of 2 profiles (#3919)
* adds a better view for comparing/managing params of 2 profiles
* adds documentation for profile comparison view
* limits word-break css to only parameter tables
* removes use of underscorejs methods in favor or built in javascript methods
* doc changes plus minor style changes
* params key does not exist for all profiles unfortunately so need to check first
* adds changelog entry
* adds a UI test to select 2 profiles to compare
* changes visual indicator to a blue shadow",code_debt,low_quality_code,27,train
incubator-weex,a246d8336f786240e4aea43495be65e8216379c0,"Merge branch 'android-feature-20160607' of https://github.com/alibaba/weex into android-feature-20160607-list-opt
* 'android-feature-20160607' of https://github.com/alibaba/weex: (21 commits)
  Revert ""* [android] update build.grade remove okhttp-ws""
  ...
# Conflicts:
#	android/sdk/src/main/java/com/taobao/weex/ui/WXRecycleImageManager.java",code_debt,complex_code,28,train
trafficserver,5fcd9d74f20f8b9b3aa8dd361fa4d037676b00ef,TS-3452: Better debug messages for SSL_ERROR_SSL: incorporate changes suggested by sudheer to peek.,code_debt,low_quality_code,29,train
trafficserver,c10ff03ca9989166883d87baf75c737b3fb28845,"TS-2094: eliminate xcrun warnings at configure time
xcrun doesn't support the --show-sdk-path option until Xcode 5. We
don't care though, because the libraries we are looking for don't
move to the SDK bundle until Xcode 5 either. It is safe to just
silence the error spew on Xcode < 5.",code_debt,low_quality_code,31,train
ambari,80c221bd407469cdc47de187aa1d65a43be5c3a4,"AMBARI-11886.  return 400 response and good error msg when user attempts
               to use API to scale a UI provisioned cluster",code_debt,low_quality_code,33,train
cassandra,64c6a9cf1ea9018dd2e273cd33b78e766361549b,"remove duplicated configuration directive
Patch by eevans for CASSANDRA-557",code_debt,duplicated_code,34,train
incubator-mxnet,4033cdd1d8a144286074efe4edfaf8c606205c8b,Make the output of ci/docker/install/ubuntu_mklml.sh less verbose (#12422),code_debt,low_quality_code,35,train
hbase,2e4ae766169435d4169c1e4b784a2d0c80f83935,"hbase-4959.  site.xml, adding left-hand nav for videos/pres.  book.xml, nit capitalization fix.",code_debt,low_quality_code,36,train
kafka,df00f1a738b1fe4cfe1140f5ee966745659c212a,"MINOR: Remove ignored tests that hang, added new versions for EOS tests (#5666)",test_debt,expensive_tests,38,train
flink,8381b189521b80666f006e56d106cde98d7c88af,removed old typica library,code_debt,dead_code,39,train
incubator-pinot,337e7681eb26693df236b13dbdc74ab8045fae65,fix test + syntax cleanup (#2569),code_debt,low_quality_code,41,train
kafka,9d52deca247d9e16cf530d655891b2bbe474ffae,"KAFKA-9501: convert between active and standby without closing stores (#8248)
This PR has gone through several significant transitions of its own, but here's the latest:
* TaskManager just collects the tasks to transition and refers to the active/standby task creator to handle closing & recycling the old task and creating the new one. If we ever hit an exception during the close, we bail and close all the remaining tasks as dirty.
* The task creators tell the task to ""close but recycle state"". If this is successful, it tells the recycled processor context and state manager that they should transition to the new type.
* During ""close and recycle"" the task just does a normal clean close, but instead of closing the state manager it informs it to recycle itself: maintain all of its store information (most importantly the current store offsets) but unregister the changelogs from the changelog reader
* The new task will (re-)register its changelogs during initialization, but skip re-registering any stores. It will still read the checkpoint file, but only use the written offsets if the store offsets are not already initialized from pre-transition
* To ensure we don't end up with manual compaction disabled for standbys, we have to call the state restore listener's onRestoreEnd for any active restoring stores that are switching to standbys",code_debt,non-optimal_design,42,train
nifi,289dde098e8f14c7ed586e03a0d9f70ccc8b97ac,"NIFI-3896 - Makes DeprecationNotice more intuitive. This closes #1799
            Update developers guide on how to deprecate a component",code_debt,low_quality_code,43,train
druid,142742f291daaf1ac9afea319cacbbe2a3077952,"add kinesis lag metric (#9509)
* add kinesis lag metric
* fixes
* heh
* do it right this time
* more test
* split out supervisor report lags into lagMillis, remove latest offsets from kinesis supervisor report since always null, review stuffs",test_debt,low_coverage,44,train
attic-apex-core,f7c97c5e462c041e2b879f2ad73ca60490f5a40f,Reorganized the tests classes.,code_debt,low_quality_code,45,train
