text,label,document_index
fix text variables dialog closes,code_debt,0
always page messages,non_debt,1
bug http sampler function path early,non_debt,5
merge pull request fix ordering based pagination views,non_debt,6
added throw new model,non_debt,7
refactor make objects independent jetty dependency refactoring step file,architecture_debt,8
import dev branch,non_debt,9
util docstring,non_debt,10
async servlet delete support cleanup,code_debt,11
shell scripts remove jobmanager local mode shell scripts,non_debt,12
try add unique,non_debt,13
binding policy bit,code_debt,14
improved build configuration fix compile spark core error hadoop fix maven profile fails build fix inconsistent versions dependency modified four spaces two spaces closes squashes following commits witgo review commit witgo merge branch master httpsgithubcomapachespark formatpom witgo revert fix spark core missing witgo merge branch master httpsgithubcomapachespark formatpom witgo fix spark core missing witgo merge master witgo merge branch master httpsgithubcomapachespark formatpom witgo add avro dependency witgo merge branch master httpsgithubcomapachespark formatpom witgo fix inconsistent versions dependency witgo merge branch master httpsgithubcomapachespark formatpom witgo review commit witgo exclude witgo merge branch formatpom witgo fix maven profile fails build witgo fix compile spark core error hadoop witgo maintain consistent pomxml,build_debt,16
merge pull request fixing controller,non_debt,17
rework caused previous change work expected,non_debt,19
merge branch httpsgithubcomalibabaweex,non_debt,21
update readmemd,non_debt,22
see role permissions,non_debt,23
updating changestxt changes,non_debt,24
merge branch cassandra30,non_debt,25
enable etcd support metadata center support etcd metadata center fix key format error failure fix failure fix failure fix failure,non_debt,26
updated artifact folder names,non_debt,29
remove old,documentation_debt,31
migrate command descriptions changes closes,non_debt,32
adding system tests,non_debt,33
new disk offering page implement action,non_debt,34
master components missing,non_debt,36
server restart failed need add retries command via alejandro,non_debt,37
remove tracing get connection close connection,non_debt,38
set javadoc generation get rid messages reduce log sizes,code_debt,39
doesnt like access underlying writer,non_debt,40
new zone page add domain details tab,non_debt,41
add javadoc since methods,non_debt,42
remove legacy descriptor methods,code_debt,43
fix path license,non_debt,44
feat add hook dataset health check feat add hook dataset health check add event log optimize datasource json data like data add unit test fix review comments extra code review comments,non_debt,46
merge pull request protobuf dependency version changed,non_debt,47
add fix test case,non_debt,48
bug improve request output,non_debt,49
bulk ops integrate mode onechiporenko,non_debt,50
put docs,non_debt,51
removed test left,code_debt,52
upgrade version,non_debt,53
fix typo,documentation_debt,55
fix license notice files,non_debt,56
convert examples etc,non_debt,57
lower log level contributed,non_debt,58
perf cluster save configurations config group takes,code_debt,59
bumped trunk,non_debt,61
remove sync recover sync get connections data source data source map always use hash sequence iterator entries,non_debt,62
fix error message print,non_debt,63
move classes shouldnt used applications internal package,non_debt,65
update release notes,non_debt,66
fix bugs systemml removed,non_debt,67
tests use factory,non_debt,69
format generate property,non_debt,70
fix typo error message,documentation_debt,71
updated processor use fresh writer output record well closes,non_debt,73
merge commit cassandra30 commit disable passing control flush failure prevent data loss,non_debt,74
fix add encrypt database,non_debt,75
adding property beans service interface utils tenant isolation requirements,non_debt,76
add implementation,non_debt,77
