comment,debt
nifi6652 fix overflow text variabl dialog close 3982,code/design_debt
async servlet delet support cleanup,code/design_debt
tidi bind polici valid bit,code/design_debt
hotfix fix lgtmcom alert dead code outofbound error 4388 fix two alert flag lgtmcom apach kafka dead code alert invalidtypeidexcept indirect extend jsonmappingexcept flag condit type test appear type test latter thus make bodi dead opt chang order test pleas let know intend behavior second commit address outofbound alert alert found note colleagu aditya sharad address outdat 2939,code/design_debt
improv error log replic write failur error happen write document target endpoint log revis error error reason also ad test cover case target validatedocupd function,code/design_debt
remov old licensetxt,documentation_debt
set javadoc generat quiet get rid superflu inform messag reduc log size,code/design_debt
hotfixyarn remov legaci descriptor method,code/design_debt
remov protect test accid left,code/design_debt
fix typo cassandra2873,documentation_debt
ambari11784 perf cluster save configur config group take 40s mpapirkovskyy,code/design_debt
fix typo error messag,documentation_debt
dont download ratzip alreadi,code/design_debt
lucene3484 fix npe taxonomywrit parent array creation thread safe,requirement_debt
camel791 ad miss licens,documentation_debt
remov redund data member baseoper class 1003 remov operatornam data member class replac getoperatornam method call avoid store inform multipl place,code/design_debt
minor remov old jekyl config file 1198,code/design_debt
accumulo4779 improv perform get prefix config 372 chang improv perform cach config prefix also remov custom method get vfs config get config prefix fast use vfs,code/design_debt
pathfilterstep support modul remov unneed cyclicpathsteptest simplepathsteptest,code/design_debt
effici header commit couchdb767,code/design_debt
minificpp299 shore http client code minificpp299 resolv issu test take long minificpp306 resolv issu http client code impact larg transfer chang made increas memori usag allow larg transfer succeed close 189,code/design_debt
zookeeper3599 clic resuscit oldstyl argument pars zookeeper2122 ad ssl support client clistmt tool introduc muchwelcom gnustyl getoptlong argument pars tri preserv backward compat earlier version httpsgithubcomapachezookeeperpull1131 introduc option posixstyl getopt argument pars consequ larg obsolet ssl updat howev support oldstyl argument avoid break workflowshttpsxkcdcom1172 patch salvag featur preserv getoptlong good legacyon ad new posit argument support as discuss thread httpsgithubcomapachezookeeperpull1131pullrequestreview320870245 close 1131 ztzgzookeeper3599usegetoptincl,code/design_debt
simplifi key name handl,code/design_debt
bug 8866 direct network usag trafficsentinel support ad work progress,requirement_debt
spark8240sql string function concat close 7486 rxinconcat squash follow commit 5217d6e reynold xin remov hive concat test f5cb7a3 reynold xin concat never nullabl ae4e61f reynold xin remov extra import fddcbbd reynold xin fix npe 22e831c reynold xin ad miss file 57a2352 reynold xin spark8240sql string function concat,code/design_debt
hotfix resolv compil warn akkarpcservic,code/design_debt
add miss spring boot test,test_debt
add better view comparingmanag param profil 3919 add better view comparingmanag param profil add document profil comparison view limit wordbreak css paramet tabl remov use underscorej method favor built javascript method doc chang plus minor style chang param key exist profil unfortun need check first add changelog entri add test select profil compar chang visual indic blue shadow,code/design_debt
merg branch androidfeature20160607 httpsgithubcomalibabaweex androidfeature20160607listopt androidfeature20160607 httpsgithubcomalibabaweex commit revert android updat buildgrad remov okhttpw conflict androidsdksrcmainjavacomtaobaoweexuiwxrecycleimagemanagerjava,code/design_debt
ts3452 better debug messag sslerrorssl incorpor chang suggest sudheer peek,code/design_debt
tinkerpop1478 fix memori leak proper redirect output gremlingroovyscriptengin bug identifi groovi fix time ago given gremlingroovyscriptengin base class doesnt direct use fix never place ctr,code/design_debt
ts2094 elimin xcrun warn configur time xcrun doesnt support showsdkpath option xcode dont care though librari look dont move sdk bundl xcode either safe silenc error spew xcode,code/design_debt
cleanup,code/design_debt
ambari11886 return 400 respons good error msg user attempt use api scale provis cluster,code/design_debt
remov duplic configur direct patch eevan cassandra557,code/design_debt
make output cidockerinstallubuntumklmlsh less verbos 12422,code/design_debt
hbase4959 sitexml ad lefthand nav videospr bookxml nit capit fix,code/design_debt
hdfs13251 avoid use hard code datanod data dir unit testsaddendum contribut ajay kumar,code/design_debt
minor remov ignor test hang ad new version eo test 5666,test_debt
remov old typica librari,code/design_debt
flink15629runtim remov unus param restartstrategyfactori schedulerngfactoryfactorycreateschedulerngfactori,code/design_debt
fix test syntax cleanup 2569,code/design_debt
kafka9501 convert activ standbi without close store 8248 gone sever signific transit here latest taskmanag collect task transit refer activestandbi task creator handl close recycl old task creat new one ever hit except close bail close remain task dirti task creator tell task close recycl state success tell recycl processor context state manag transit new type close recycl task normal clean close instead close state manag inform recycl maintain store inform import current store offset unregist changelog changelog reader new task reregist changelog initi skip reregist store still read checkpoint file use written offset store offset alreadi initi pretransit ensur dont end manual compact disabl standbi call state restor listen onrestoreend activ restor store switch standbi,code/design_debt
nifi3896 make deprecationnotic intuit close 1799 updat develop guid deprec compon,code/design_debt
add kinesi lag metric 9509 add kinesi lag metric fix heh right time test split supervisor report lag lagmilli remov latest offset kinesi supervisor report sinc alway null review stuff,test_debt
