text,label,document_index,subset
nifi6652 fix overflow text variabl dialog close 3982,code/design_debt,0,train
tidi bind polici valid bit,code/design_debt,2,train
improv error log replic write failur error happen write document target endpoint log revis error error reason also ad test cover case target validatedocupd function,code/design_debt,4,train
remov old licensetxt,documentation_debt,5,train
set javadoc generat quiet get rid superflu inform messag reduc log size,code/design_debt,6,train
hotfixyarn remov legaci descriptor method,code/design_debt,7,train
remov protect test accid left,code/design_debt,8,train
fix typo cassandra2873,documentation_debt,9,train
fix typo error messag,documentation_debt,11,train
dont download ratzip alreadi,code/design_debt,12,train
camel791 ad miss licens,documentation_debt,14,train
accumulo4779 improv perform get prefix config 372 chang improv perform cach config prefix also remov custom method get vfs config get config prefix fast use vfs,code/design_debt,17,train
effici header commit couchdb767,code/design_debt,19,train
minificpp299 shore http client code minificpp299 resolv issu test take long minificpp306 resolv issu http client code impact larg transfer chang made increas memori usag allow larg transfer succeed close 189,code/design_debt,20,train
zookeeper3599 clic resuscit oldstyl argument pars zookeeper2122 ad ssl support client clistmt tool introduc muchwelcom gnustyl getoptlong argument pars tri preserv backward compat earlier version httpsgithubcomapachezookeeperpull1131 introduc option posixstyl getopt argument pars consequ larg obsolet ssl updat howev support oldstyl argument avoid break workflowshttpsxkcdcom1172 patch salvag featur preserv getoptlong good legacyon ad new posit argument support as discuss thread httpsgithubcomapachezookeeperpull1131pullrequestreview320870245 close 1131 ztzgzookeeper3599usegetoptincl,code/design_debt,21,train
bug 8866 direct network usag trafficsentinel support ad work progress,requirement_debt,23,train
spark8240sql string function concat close 7486 rxinconcat squash follow commit 5217d6e reynold xin remov hive concat test f5cb7a3 reynold xin concat never nullabl ae4e61f reynold xin remov extra import fddcbbd reynold xin fix npe 22e831c reynold xin ad miss file 57a2352 reynold xin spark8240sql string function concat,code/design_debt,24,train
hotfix resolv compil warn akkarpcservic,code/design_debt,25,train
add miss spring boot test,test_debt,26,train
add better view comparingmanag param profil 3919 add better view comparingmanag param profil add document profil comparison view limit wordbreak css paramet tabl remov use underscorej method favor built javascript method doc chang plus minor style chang param key exist profil unfortun need check first add changelog entri add test select profil compar chang visual indic blue shadow,code/design_debt,27,train
merg branch androidfeature20160607 httpsgithubcomalibabaweex androidfeature20160607listopt androidfeature20160607 httpsgithubcomalibabaweex commit revert android updat buildgrad remov okhttpw conflict androidsdksrcmainjavacomtaobaoweexuiwxrecycleimagemanagerjava,code/design_debt,28,train
ts3452 better debug messag sslerrorssl incorpor chang suggest sudheer peek,code/design_debt,29,train
ts2094 elimin xcrun warn configur time xcrun doesnt support showsdkpath option xcode dont care though librari look dont move sdk bundl xcode either safe silenc error spew xcode,code/design_debt,31,train
ambari11886 return 400 respons good error msg user attempt use api scale provis cluster,code/design_debt,33,train
remov duplic configur direct patch eevan cassandra557,code/design_debt,34,train
make output cidockerinstallubuntumklmlsh less verbos 12422,code/design_debt,35,train
hbase4959 sitexml ad lefthand nav videospr bookxml nit capit fix,code/design_debt,36,train
minor remov ignor test hang ad new version eo test 5666,test_debt,38,train
remov old typica librari,code/design_debt,39,train
fix test syntax cleanup 2569,code/design_debt,41,train
kafka9501 convert activ standbi without close store 8248 gone sever signific transit here latest taskmanag collect task transit refer activestandbi task creator handl close recycl old task creat new one ever hit except close bail close remain task dirti task creator tell task close recycl state success tell recycl processor context state manag transit new type close recycl task normal clean close instead close state manag inform recycl maintain store inform import current store offset unregist changelog changelog reader new task reregist changelog initi skip reregist store still read checkpoint file use written offset store offset alreadi initi pretransit ensur dont end manual compact disabl standbi call state restor listen onrestoreend activ restor store switch standbi,code/design_debt,42,train
nifi3896 make deprecationnotic intuit close 1799 updat develop guid deprec compon,code/design_debt,43,train
add kinesi lag metric 9509 add kinesi lag metric fix heh right time test split supervisor report lag lagmilli remov latest offset kinesi supervisor report sinc alway null review stuff,test_debt,44,train
reorgan test class,code/design_debt,45,train
spark31862sql remov except wrap aqe chang propos pull request remov excess except wrap aqe error messag less verbos most consist nonaq execut except stage materi wrap sparkexcept multipl stage failur also stage cancel error includ part except thrown rather error log chang need make aqe error report readabl debugg introduc userfac chang patch test updat exist test close 28668 maryannxuespark31862,code/design_debt,46,train
temporari test code,test_debt,47,train
cloudstack6181 specifi valu rootdisks paramet add bytesgb log except messag fix gbgb,code/design_debt,48,train
