text,label,document_index
xxx realli dont like xml still process better solut would creat project target process tree deal attribut similar descript eventu switch add support thing work avoid almost complet could still creat backward compat,code/design_debt,0
wrap test way extract origin test name littl hack,code/design_debt,1
xxx ignor attribut differ mayb store,code/design_debt,2
,code/design_debt,3
properti suppos,code/design_debt,5
hack valu compon name namespac need extract name convert qualifi name,code/design_debt,6
there conveni class version data privat use packag inform,code/design_debt,7
charact need,code/design_debt,8
append normal done,code/design_debt,9
,code/design_debt,10
todo read yet public setter,code/design_debt,12
know object class multipl defin log,code/design_debt,13
sure could need,code/design_debt,14
remov,code/design_debt,16
xxx instead make new correspond,code/design_debt,17
xxx convert sourc destin directori accord standard written better hacki,code/design_debt,19
access properti tabl use support ant call similar task deprec possibl use better effici mechan preserv context,code/design_debt,21
xxx throw except instead,code/design_debt,22
better way save context shouldnt deleg next backward compat,code/design_debt,24
quick fix use properti initi project,code/design_debt,25
xxx use instead command line execut dont reli stuff around,code/design_debt,26
common log listen note use logger implement caus loop sinc write ant rerout layer follow name use log project event target event event individu target target project name replac todo use context log featur expos first todo ineffici switch track log optim lot may requir chang core sinc ant,code/design_debt,28
todo use user could overrid probabl modifi use classnam instead,code/design_debt,29
case case subclass,code/design_debt,30
rather case one subclass know need updat time resourc known would need ad subclass seem know what go happen jar detect manifest chang exampl manifest part resourc support inlin manifest invok like ant well stuff origin report,code/design_debt,31
deprec use futur,code/design_debt,32
xxx array stuff remov,code/design_debt,33
set number give decid target date todo yet use param use decid target url,code/design_debt,34
may chang add pars capabl,code/design_debt,35
assum everi output xxx correct,code/design_debt,36
line hack system must uri get uri resourc set name resourc system,code/design_debt,37
xxx follow run execut null,code/design_debt,38
mac previous todo idea get someon must fix,code/design_debt,39
todo noth appear read set use public setter,code/design_debt,40
xxx extend,code/design_debt,41
xxx fail load class proper print warn,code/design_debt,42
xxx could perhap also call sure anyon care,code/design_debt,43
xxx perhap shouldnt use properti three option mode warn includ direct,code/design_debt,44
xxx mayb use reflect pattern,code/design_debt,45
todo problem constructor provid rule constructor setter avail,code/design_debt,46
probabl best choic problem relat path,code/design_debt,47
case load class dont know handl easi way know mode would generat suppos make ant alway class file name exist,code/design_debt,49
check also ugli,code/design_debt,50
cant get around encod need,code/design_debt,51
quick dirti make nest map work,code/design_debt,52
xxx code still necessari port zip packag directori,code/design_debt,53
xxx unfortun add valu implement requir small hack add later,code/design_debt,55
first develop could use littl help,code/design_debt,56
xxx throw except instead,code/design_debt,57
xxx throw except instead,code/design_debt,58
xxx throw except instead,code/design_debt,59
xxx silent catch possibl except tri load differ implement,code/design_debt,60
xxx silent catch possibl except tri load differ implement,code/design_debt,61
array realli shouldnt histor purpos array privat packag privat locat sinc could modifi,code/design_debt,64
move separ public class api add listen etc,code/design_debt,65
becom singl empti argument,code/design_debt,66
nice job,code/design_debt,67
use public must remain,code/design_debt,69
dont want call method,code/design_debt,70
copi,code/design_debt,73
sure whether clean method declar throw except,code/design_debt,74
deal assembl write littl byte chunk know must assembl complet record write review mayb could help elimin buffer copi,code/design_debt,77
new better way use instead code current need class file directori use jar file,code/design_debt,78
ugli check root folder,code/design_debt,80
,code/design_debt,83
xxx follow realli necessari thread group,code/design_debt,85
find way put output,code/design_debt,86
old way deprec right way,code/design_debt,87
script exampl modifi task target work ugli refer replac,code/design_debt,88
dont call reader use place,code/design_debt,89
report error someth weird,code/design_debt,90
hack ask creat instanc provid argument forc run class static initi time run valid constructor,code/design_debt,92
xxx shouldnt alway return fals mode,code/design_debt,94
todo comment field doesnt includ option yet,requirement_debt,96
delet file valid file,requirement_debt,97
think lazi initi compar new,requirement_debt,99
todo comment field doesnt includ option yet,requirement_debt,100
displaynam variabl store valu displaynam element standard ejb futur enhanc task may determin name ejb jar file use displaynam implement yet,requirement_debt,102
xxx log error throw except,requirement_debt,104
todo allow user request system parent,requirement_debt,105
text add fragment todo check could modifi seem like current version could stick empti string list,requirement_debt,106
todo duplic inform time part result wed better deriv new class deal,test_debt,108
sure whether test need cost noth put hope review,test_debt,109
doesnt work depend compress engin use compress byte may differ fals error would report content mismatch,test_debt,111
process doesnt proper combin thus test fail workaround,test_debt,113
test fixm report origin purpos,test_debt,114
