text,label,document_index
assume handle,CODE,0
is,CODE,1
this request,DEFECT,4
these drop functions used httr they retain functionality used httr generally vectorized,CODE,5
default options na tested cache exist created interactive,TEST,6
skip travis avoid server nt seem able handle multiple,ARCHITECTURE,7
must reuse connection wrong time causing problems final test,TEST,8
quick hack create structure use existing,CODE,9
running causes weird behaviour context cache,ARCHITECTURE,10
work around,BUILD,11
knitr takes function name user need load package,CODE,12
needs handle na,CODE,13
supported,DEFECT,14
nothing used split sequence tags,CODE,16
need tell code it ll needed,CODE,17
force objects inside templates,CODE,19
probably installed,BUILD,21
github test prevent note unexpected hidden directory skip cmd check github directory,BUILD,22
github test prevent note unexpected hidden directory skip cmd check github directory present,BUILD,23
github test prevent note unexpected hidden directory skip cmd check github directory present,BUILD,24
formats left special characters,CODE,25
ca nt package path long gives cmd check note,DEFECT,26
why needed,CODE,29
functions remove fill missing values time series nothing multiple yet,REQUIREMENTS,31
copied problematic due issues,CODE,32
do nt use may contain errors,CODE,33
just avoid errors,CODE,34
not sure would occur,DEFECT,36
not sure would occur,DEFECT,37
deprecated,CODE,38
length length how happen,CODE,39
time series objects assumed,DESIGN,40
use version loaded prevent cran errors,BUILD,41
todo rewrite,CODE,42
draw intervals todo find method stacking correctly,CODE,43
not enough data much stop all values must positive,ALGORITHM,44
create season missing data if data formula,DESIGN,46
if data formula data season requested,DESIGN,47
check included newdata not working removed,DEFECT,48
todo,CODE,49
what,CODE,50
probably redundant check,CODE,51
use aic npar wo nt work tiny samples,CODE,52
not sure ever happen,DEFECT,53
this probably inefficient ca nt think better way right,ARCHITECTURE,55
calculate sd include,CODE,56
forecasts manually boxcox match forecasts lambda passed argument,DEFECT,57
forecasts manually boxcox match forecasts lambda passed argument,DEFECT,58
tests run travis parallel print regexp print false regexp,TEST,59
add graph attributes directed supported,CODE,61
adhoc use rescale time,DESIGN,62
todo print tree,REQUIREMENTS,63
todo make faster nt need whole matrix usually,ARCHITECTURE,65
todo rewrite make faster,ARCHITECTURE,66
names zero length vectors why,DEFECT,67
todo speed,ARCHITECTURE,69
todo speed,ARCHITECTURE,70
we might need rename attributes,CODE,71
old values,CODE,73
different arrows separately arrows handle vector code argument,CODE,74
could also parameters width length,CODE,75
new style parameters ca nt yet,CODE,76
todo plot parameters,DEFECT,77
plot anything,DEFECT,78
todo getoption,CODE,80
todo list adding edges graph graphics bar graph list right list window title error implement min max,REQUIREMENTS,82
bug version workaround,DEFECT,83
todo,CODE,84
implementation hopefully correct implementation nt need,CODE,85
ignored anyway,CODE,86
grid object implemented tcltk,BUILD,87
todo different types objects selected,REQUIREMENTS,89
we nt need stored environment,CODE,90
for future right warn even message,CODE,92
todo,CODE,93
todo weighted,DESIGN,94
todo checks,TEST,96
todo check,TEST,97
us directed todo,TEST,98
us directed todo,TEST,99
todo consider setting verbose false,CODE,100
todo using provided argument passed along,CODE,101
todo honor default branch,CODE,102
errors token nt check,DEFECT,104
todo functions make possible better,CODE,105
todo make,CODE,106
ca nt label level ie fails already exists https must first issues sort labels,DEFECT,107
todo honor,VERSIONING,108
todo used currently uses code checking token,VERSIONING,109
todo git rm cache docs ca nt currently detect git known files directory,VERSIONING,111
todo honor default branch,VERSIONING,112
todo turn interactive choice if changes think branch switch always fail happen ie risk something,DEFECT,113
todo honor default branch,VERSIONING,114
todo honor default branch,VERSIONING,115
todo honor default branch,VERSIONING,116
have done check ve git config,VERSIONING,117
todo checking re default branch,VERSIONING,120
todo,CODE,123
todo correct case selection,CODE,124
todo present useful,DOCUMENTATION,126
todo properly switch,VERSIONING,127
todo consider push,VERSIONING,128
cleanup,CODE,132
delete private test repo github browser todo nice add code,TEST,133
repo chosen first one listed cran user day made ie,TEST,134
make sure local copy exist error nt,DEFECT,135
work,CODE,136
