text,label,document_index,subset
assume handle,CODE,0,train
is,CODE,1,train
this request,DEFECT,4,train
these drop functions used httr they retain functionality used httr generally vectorized,CODE,5,train
default options na tested cache exist created interactive,TEST,6,train
skip travis avoid server nt seem able handle multiple,ARCHITECTURE,7,train
must reuse connection wrong time causing problems final test,TEST,8,train
quick hack create structure use existing,CODE,9,train
running causes weird behaviour context cache,ARCHITECTURE,10,train
work around,BUILD,11,train
knitr takes function name user need load package,CODE,12,train
needs handle na,CODE,13,train
supported,DEFECT,14,train
nothing used split sequence tags,CODE,16,train
need tell code it ll needed,CODE,17,train
force objects inside templates,CODE,19,train
probably installed,BUILD,21,train
github test prevent note unexpected hidden directory skip cmd check github directory,BUILD,22,train
github test prevent note unexpected hidden directory skip cmd check github directory present,BUILD,23,train
github test prevent note unexpected hidden directory skip cmd check github directory present,BUILD,24,train
formats left special characters,CODE,25,train
ca nt package path long gives cmd check note,DEFECT,26,train
why needed,CODE,29,train
functions remove fill missing values time series nothing multiple yet,REQUIREMENTS,31,train
copied problematic due issues,CODE,32,train
do nt use may contain errors,CODE,33,train
just avoid errors,CODE,34,train
not sure would occur,DEFECT,36,train
not sure would occur,DEFECT,37,train
deprecated,CODE,38,train
length length how happen,CODE,39,train
time series objects assumed,DESIGN,40,train
use version loaded prevent cran errors,BUILD,41,train
todo rewrite,CODE,42,train
draw intervals todo find method stacking correctly,CODE,43,train
not enough data much stop all values must positive,ALGORITHM,44,train
create season missing data if data formula,DESIGN,46,train
if data formula data season requested,DESIGN,47,train
check included newdata not working removed,DEFECT,48,train
todo,CODE,49,train
what,CODE,50,train
probably redundant check,CODE,51,train
use aic npar wo nt work tiny samples,CODE,52,train
not sure ever happen,DEFECT,53,train
this probably inefficient ca nt think better way right,ARCHITECTURE,55,train
calculate sd include,CODE,56,train
forecasts manually boxcox match forecasts lambda passed argument,DEFECT,57,train
forecasts manually boxcox match forecasts lambda passed argument,DEFECT,58,train
tests run travis parallel print regexp print false regexp,TEST,59,train
add graph attributes directed supported,CODE,61,train
adhoc use rescale time,DESIGN,62,train
todo print tree,REQUIREMENTS,63,train
todo make faster nt need whole matrix usually,ARCHITECTURE,65,train
todo rewrite make faster,ARCHITECTURE,66,train
names zero length vectors why,DEFECT,67,train
todo speed,ARCHITECTURE,69,train
todo speed,ARCHITECTURE,70,train
we might need rename attributes,CODE,71,train
old values,CODE,73,train
different arrows separately arrows handle vector code argument,CODE,74,train
could also parameters width length,CODE,75,train
new style parameters ca nt yet,CODE,76,train
todo plot parameters,DEFECT,77,train
plot anything,DEFECT,78,train
todo getoption,CODE,80,train
todo list adding edges graph graphics bar graph list right list window title error implement min max,REQUIREMENTS,82,train
bug version workaround,DEFECT,83,train
todo,CODE,84,train
implementation hopefully correct implementation nt need,CODE,85,train
ignored anyway,CODE,86,train
grid object implemented tcltk,BUILD,87,train
todo different types objects selected,REQUIREMENTS,89,train
we nt need stored environment,CODE,90,train
for future right warn even message,CODE,92,train
todo,CODE,93,train
todo weighted,DESIGN,94,train
todo checks,TEST,96,train
todo check,TEST,97,train
us directed todo,TEST,98,train
us directed todo,TEST,99,train
todo consider setting verbose false,CODE,100,train
todo using provided argument passed along,CODE,101,train
todo honor default branch,CODE,102,train
errors token nt check,DEFECT,104,train
todo functions make possible better,CODE,105,train
todo make,CODE,106,train
ca nt label level ie fails already exists https must first issues sort labels,DEFECT,107,train
todo honor,VERSIONING,108,train
todo used currently uses code checking token,VERSIONING,109,train
todo git rm cache docs ca nt currently detect git known files directory,VERSIONING,111,train
todo honor default branch,VERSIONING,112,train
todo turn interactive choice if changes think branch switch always fail happen ie risk something,DEFECT,113,train
todo honor default branch,VERSIONING,114,train
todo honor default branch,VERSIONING,115,train
todo honor default branch,VERSIONING,116,train
have done check ve git config,VERSIONING,117,train
todo checking re default branch,VERSIONING,120,train
todo,CODE,123,train
todo correct case selection,CODE,124,train
todo present useful,DOCUMENTATION,126,train
todo properly switch,VERSIONING,127,train
todo consider push,VERSIONING,128,train
cleanup,CODE,132,train
delete private test repo github browser todo nice add code,TEST,133,train
repo chosen first one listed cran user day made ie,TEST,134,train
make sure local copy exist error nt,DEFECT,135,train
work,CODE,136,train
if session temp directory appears within project large scale test the sometimes files session temp directory one delete files manually,TEST,138,train
cran sets disk tests fail even something might try config file operation eg git simply test,TEST,139,train
testing user travis nt want risk creating files actual user would clean,TEST,140,train
run manually already files happy delete,TEST,141,train
run manually already files happy delete,TEST,142,train
run manually already files happy delete,TEST,143,train
ever depend package could test bit,TEST,144,train
test started fail usethis currently branch nt seem worth skip good enough,DEFECT,145,train
github remote sparse start somewhere,VERSIONING,146,train
we ve already here happens created user origin upstream parent repo becomes due name change now upstream looks like point parent,DEFECT,147,train
hand vs via windows appears delete current working directory,DEFECT,148,train
empty values temperature file cause errors if calculate max window,DEFECT,149,train
hack remove warning message nt suppress messages,CODE,150,train
narm true remove warnings na cf control size,CODE,151,train
the following block used usethis automatically namespace tags modify care usethis namespace start,DOCUMENTATION,152,train
could theoretically work like mtc mtc mtc mtc mtc mtc function data mapping ggplot data mapping,CODE,153,train
copied old code want replace something like,CODE,154,train
fix missing box goes true min,DEFECT,155,train
user ordering one class rest add later,CODE,156,train
bug character vector to,DEFECT,157,train
this file takes long,ARCHITECTURE,158,train
