comment,debt
assume curl handle,CODE
is cacheable,CODE
what impact c public private control flags,CODE
requires validation,CODE
todo might need put params,CODE
compatibility digest digest,CODE
use specific options get post otherwise perform custom request the putupload options nt appear work instead hanging forever,DEFECT
this callback cancel request,DEFECT
these drop replacements stringr functions used httr they retain functionality stringr used httr notably generally vectorized,CODE
default options httroauthcache na tested cache exist created interactive,TEST
skip travis avoid hammering ftp server nt seem able handle multiple simultaneous requests,ARCHITECTURE
must reuse ftp connection closed wrong time causing problems final test,TEST
quick hack create structure topics use existing selecttopics,CODE
reloading pkgdown s running causes weird behaviour context cache,ARCHITECTURE
work around mustache deficiency,BUILD
explicitly set branches tracked origin remote needed using shallow clone travisci,BUILD
knitr takes function name user need load package,CODE
needs handle na desc descget,CODE
dois supported,DEFECT
uris supported,DEFECT
update anchors dot anchor breaks scrollspy,DEFECT
update href toc anchors use instead,CODE
effectively nothing used parseitems split sequence tags,CODE
need unescape highlighttext tell s r code it ll reescape needed,CODE
the real location 404html dynamic relative root work use full url available,DEFECT
force inclusion reliably refer objects inside yaml moustache templates,CODE
get md5 digests recorded plots mergelowplot works,CODE
real plot info length must increase,CODE
would better base top data structure provides files root directory use printing,CODE
pkgdown probably installed,BUILD
pkgdown probably loaded devtools,BUILD
github test buildignored prevent note unexpected hidden directory skip cmd check github directory presents,BUILD
github test buildignored prevent note unexpected hidden directory skip cmd check github directory present,BUILD
github test buildignored prevent note unexpected hidden directory skip cmd check github directory present,BUILD
unsupported formats left alone escaping special characters,CODE
email addresses nt get linked,CODE
ca nt embed package path long gives r cmd check note,DEFECT
fit call data dataframe xx consider replacing fit call matchcall consistency tidyness,CODE
choose model orders serial technically could combined code,CODE
why needed,CODE
trend estimation like stl without seasonality nonrobust version,ARCHITECTURE
functions remove outliers fill missing values time series nothing multiple seasonality yet,REQUIREMENTS
copied seasonal extractwnaaction importing problematic due issues arm processors,CODE
do nt use f resid may contain multiplicative errors,CODE
just avoid errors,CODE
todo,CODE
needed moment,CODE
not sure would occur,DEFECT
not sure would occur,DEFECT
deprecated,CODE
length tt length how happen,CODE
time series objects assumed,DESIGN
use ggfortify version loaded prevent cran errors,BUILD
todo rewrite,CODE
todo consider removingchanging,CODE
draw forecast intervals todo find reliable method stacking correctly,CODE
not enough data much stop all values must positive,ALGORITHM
this happen,DEFECT
create trend season missing data tsvar if data formula,DESIGN
tsvar if data formula nonseasonal data season requested,DESIGN
fix lost factor information may needed,ALGORITHM
check regressors included newdata not working removed,DEFECT
todo,CODE
what x,CODE
probably redundant check,CODE
probably redundant check,CODE
use aic npar aicc wo nt work tiny samples,CODE
not sure ever happen,DEFECT
future currently implemented,REQUIREMENTS
future currently implemented,REQUIREMENTS
this probably grossly inefficient i ca nt think better way right,ARCHITECTURE
calculate accuracy sd accross folds include,CODE
add info series function parameters add note nanan folds print number folds,DOCUMENTATION
forecasts transformed manually boxcox match forecasts lambda passed argument,DEFECT
forecasts transformed manually boxcox match forecasts lambda passed argument,DEFECT
tests run travis parallel expectoutput print tbats woolyrnq numcores regexp tbats expectoutput print tbats elecsales numcores usetrend false regexp bats,TEST
originally x sort leaf always left x nt want assume leaf left,CODE
add graph attributes directed are officially supported,CODE
adhoc use freedmandiaconis binwidth rescale time accordingly,DESIGN
,CODE
drop attributes nt want deal todo,CODE
todo print tree,REQUIREMENTS
how print hrgs,CODE
this tedious graph big always n1 internal nodes restrict say level default,ARCHITECTURE
