text,label,document_index
assume handle,CODE,0
is,CODE,1
compatibility,CODE,5
use specific options get otherwise perform custom request the options nt appear work instead,DEFECT,6
this request,DEFECT,7
these drop functions used httr they retain functionality used httr generally vectorized,CODE,8
default options na tested cache exist created interactive,TEST,9
skip travis avoid server nt seem able handle multiple,ARCHITECTURE,10
must reuse connection wrong time causing problems final test,TEST,11
quick hack create structure use existing,CODE,12
running causes weird behaviour context cache,ARCHITECTURE,13
work around,BUILD,14
knitr takes function name user need load package,CODE,16
needs handle na,CODE,17
supported,DEFECT,19
update use instead,CODE,21
nothing used split sequence tags,CODE,22
need tell code it ll needed,CODE,23
the real location dynamic relative root work use full url available,DEFECT,24
force objects inside templates,CODE,25
get plots works,CODE,26
probably installed,BUILD,29
github test prevent note unexpected hidden directory skip cmd check github directory,BUILD,31
github test prevent note unexpected hidden directory skip cmd check github directory present,BUILD,32
github test prevent note unexpected hidden directory skip cmd check github directory present,BUILD,33
formats left special characters,CODE,34
ca nt package path long gives cmd check note,DEFECT,36
fit call data dataframe xx consider fit call matchcall consistency,CODE,37
choose model serial technically could code,CODE,38
why needed,CODE,39
like without version,ARCHITECTURE,40
functions remove fill missing values time series nothing multiple yet,REQUIREMENTS,41
copied problematic due issues,CODE,42
do nt use may contain errors,CODE,43
just avoid errors,CODE,44
needed moment,CODE,46
not sure would occur,DEFECT,47
not sure would occur,DEFECT,48
deprecated,CODE,49
length length how happen,CODE,50
time series objects assumed,DESIGN,51
use version loaded prevent cran errors,BUILD,52
todo rewrite,CODE,53
draw intervals todo find method stacking correctly,CODE,55
not enough data much stop all values must positive,ALGORITHM,56
this happen,DEFECT,57
create season missing data if data formula,DESIGN,58
if data formula data season requested,DESIGN,59
check included newdata not working removed,DEFECT,61
todo,CODE,62
what,CODE,63
probably redundant check,CODE,65
use aic npar wo nt work tiny samples,CODE,66
not sure ever happen,DEFECT,67
future currently implemented,REQUIREMENTS,69
this probably inefficient ca nt think better way right,ARCHITECTURE,70
calculate sd include,CODE,71
forecasts manually boxcox match forecasts lambda passed argument,DEFECT,73
forecasts manually boxcox match forecasts lambda passed argument,DEFECT,74
tests run travis parallel print regexp print false regexp,TEST,75
originally sort always left nt want assume left,CODE,76
add graph attributes directed supported,CODE,77
adhoc use rescale time,DESIGN,78
todo print tree,REQUIREMENTS,81
this graph big always n1 internal nodes restrict say level default,ARCHITECTURE,83
todo make faster nt need whole matrix usually,ARCHITECTURE,84
todo rewrite make faster,ARCHITECTURE,86
names zero length vectors why,DEFECT,87
todo better generic,CODE,88
todo speed,ARCHITECTURE,90
todo speed,ARCHITECTURE,91
we might need rename attributes,CODE,93
ca nt onload,CODE,94
old values,CODE,95
different arrows separately arrows handle vector code argument,CODE,97
could also parameters width length,CODE,98
new style parameters ca nt yet,CODE,99
todo plot parameters,DEFECT,100
plot anything,DEFECT,101
need create separate image every different color,REQUIREMENTS,102
todo getoption,CODE,103
so many items print,REQUIREMENTS,105
todo list adding edges graph graphics bar graph list right list window title error implement min max,REQUIREMENTS,106
bug version workaround,DEFECT,107
todo,CODE,108
implementation hopefully correct implementation nt need,CODE,109
ignored anyway,CODE,110
grid object implemented tcltk,BUILD,112
would need update,CODE,113
todo different types objects selected,REQUIREMENTS,114
we nt need stored environment,CODE,115
drop alpha tcltk nt support,BUILD,116
for future right warn even message,CODE,117
todo,CODE,118
todo weighted,DESIGN,121
todo special functions,TEST,124
todo checks,TEST,125
todo check,TEST,127
us directed todo,TEST,128
us directed todo,TEST,129
todo consider setting verbose false,CODE,133
todo using provided argument passed along,CODE,134
todo honor default branch,CODE,135
creates tests,ARCHITECTURE,136
errors token nt check,DEFECT,137
todo functions make possible better,CODE,139
todo make,CODE,140
ca nt label level ie fails already exists https must first issues sort labels,DEFECT,141
todo honor,VERSIONING,142
