text,label,document_index,subset
xxx realli dont like xml processor still involv process better solut imo would creat project target process tree projecttarget deal attribut similar descript eventu switch add support dom thing work smooth avoid almost complet could still creat demand backward compat,code/design_debt,0,train
junit wrap solo test way extract origin test name littl hack,code/design_debt,1,train
xxx ignor attribut differ mayb store,code/design_debt,2,train
borrow tokenfiltertest,code/design_debt,3,train
properti suppos,code/design_debt,5,train
hack anttyp valu anttyp compon name namespac need extract name convert qualifi name urinam,code/design_debt,6,train
there conveni xsltc class version data privat use packag inform,code/design_debt,7,train
stolen orgapachexercesimplxmlentitymanagergetuserdir xercesj team ascii charact need escap,code/design_debt,8,train
bingo append normal done,code/design_debt,9,train
faint ridicul,code/design_debt,10,train
todo read yet public setter,code/design_debt,12,train
know object class multipl defin log,code/design_debt,13,train
sure could need,code/design_debt,14,train
experimentaltest remov,code/design_debt,16,train
xxx instead make new protectiondomain codesourc correspond containertouritourl permissioncollect projectclassprotectiondomain,code/design_debt,17,train
xxx convert sourc destin directori accord weblog standard written better hacki,code/design_debt,19,train
access properti tabl use support ant call similar task deprec possibl use better effici mechan preserv context,code/design_debt,21,train
xxx throw except instead,code/design_debt,22,train
better way save context shouldnt deleg next backward compat,code/design_debt,24,train
quick fix antjava use properti initi project,code/design_debt,25,train
xxx use jcvs wwwicecomjcv instead command line execut dont reli nativ cvs stuff around,code/design_debt,26,train
jakarta common log listen note use simplelog logger implement caus infinit loop sinc write systemerr ant trap rerout loggerlisten layer follow name use log orgapachetoolsantprojectprojectnam project event orgapachetoolsanttargettargetnam target event taskclassnametargetnam event individu target target project name replac todo use advanc context log featur expos first todo ineffici switch track log optim lot may requir chang core sinc ant,code/design_debt,28,train
todo use tasknam brittl user could overrid probabl modifi use classnam instead,code/design_debt,29,train
patholog case retain case somebodi subclass,code/design_debt,30,train
rather hairi case one subclass know need updat archiv time resourc known would need ad subclass seem know what go happen jar detect manifest chang exampl manifest part resourc support inlin manifest invok createemptyzip like ant 152 well loos stuff origin archiv bugzilla report 17780,code/design_debt,31,train
deprec use classespath futur,code/design_debt,32,train
xxx array stuff remnant prev trial gotta remov,code/design_debt,33,train
set number millisecond leeway give decid target date todo yet use param granular granular use decid target url,code/design_debt,34,train
may chang add advanc pars capabl,code/design_debt,35,train
assum everi output jike stand errorwarn xxx correct,code/design_debt,36,train
line hack system must uri cleat get uri resourc set name resourc system,code/design_debt,37,train
xxx follow run javadoc4 execut null,code/design_debt,38,train
mac previous todo idea get someon must fix,code/design_debt,39,train
todo noth appear read set use public setter,code/design_debt,40,train
xxx commit combiningchar extend,code/design_debt,41,train
xxx fail load class proper print warn,code/design_debt,42,train
xxx could perhap also call threadstop sure anyon care,code/design_debt,43,train
xxx perhap shouldnt use properti three option emac mode warn pedant includ javac direct,code/design_debt,44,train
xxx mayb use reflect addpathel pattern,code/design_debt,45,train
todo problem constructor rbc provid rule constructor setter avail,code/design_debt,46,train
probabl best choic solv problem relat path classpath,code/design_debt,47,train
fallback case troubl load class dont know handl easi way know idl mode would generat suppos make ant alway recompil class file name exist,code/design_debt,49,train
check also ugli,code/design_debt,50,train
cant get head around encod treatment need,code/design_debt,51,train
quick dirti make nest map pset work,code/design_debt,52,train
xxx code still necessari port pull zip packag directori,code/design_debt,53,train
xxx unfortun jdk12 add entryset keyset valu implement requir small hack add later,code/design_debt,55,train
first develop could use littl help,code/design_debt,56,train
xxx throw except instead,code/design_debt,57,train
xxx throw except instead,code/design_debt,58,train
xxx throw except instead,code/design_debt,59,train
xxx silent catch possibl except tri load differ implement,code/design_debt,60,train
xxx silent catch possibl except tri load differ implement,code/design_debt,61,train
array realli shouldnt histor purpos pfixm array privat packag privat locat sinc could modifi malici codep,code/design_debt,64,train
move separ public class api add listen etc,code/design_debt,65,train
becom singl empti argument 5906,code/design_debt,66,train
nice job,code/design_debt,67,train
use public theoret must remain,code/design_debt,69,train
supervalidateattribut dont want call method,code/design_debt,70,train
copi concattest,code/design_debt,73,train
sure whether clean method declar throw except,code/design_debt,74,train
deal assembl programm write littl byte chunk know must assembl complet record write review mayb tarbuff could help elimin buffer copi,code/design_debt,77,train
new better way use classespath instead sourcespath code current need class file directori use jar file,code/design_debt,78,train
ugli check root folder,code/design_debt,80,train
stolen writemanifest,code/design_debt,83,train
xxx follow realli necessari thread group,code/design_debt,85,train
find cleaner way put output,code/design_debt,86,train
old way deprec classespath right way,code/design_debt,87,train
script exampl modifi ide task target work ugli refer replac runtimeconfigur,code/design_debt,88,train
dont call superclos reader use place,code/design_debt,89,train
report error someth weird happensthi diagnost,code/design_debt,90,train
hack ask creat instanc voluntarili provid illeg argument forc run class static initi time run valid constructor,code/design_debt,92,train
xxx shouldnt alway return fals isol mode,code/design_debt,94,train
todo comment field doesnt includ option yet,requirement_debt,96,train
delet file valid file,requirement_debt,97,train
think lazi initi jhm compar new javatextrulebasedcol,requirement_debt,99,train
todo comment field doesnt includ option yet,requirement_debt,100,train
displaynam variabl store valu displaynam element standard ejb descriptor futur enhanc task may determin name ejb jar file use displaynam implement yet,requirement_debt,102,train
xxx log error throw except,requirement_debt,104,train
todo allow user request system parent,requirement_debt,105,train
text add fragment todo check could modifi posprev seem like current version could stick empti string list,requirement_debt,106,train
todo duplic testresult inform time part result wed better deriv new class testresult deal,test_debt,108,train
sure whether test need cost noth put hope review anybodi compet,test_debt,109,train
doesnt work depend compress engin use compress byte may differ fals error would report asserttruefil content mismatch fileutilscontentequalsprojectresolvefileexpectedasflogohugetarbz2 projectresolvefileasflogohugetarbz2,test_debt,111,train
process doesnt die proper combin thus test fail workaround,test_debt,113,train
junit3 test assertequalserror junittestrunnerfailur runnergetretcod fixm report origin stacktrac asserttrueerror errorindexofthrown purpos,test_debt,114,train
properti id thing either properti path need make sure object creat given dont adequ way test actual valu path object though,test_debt,115,train
test case gone,test_debt,116,train
attribut name valu xml spec doesnt requir preserv order afaik ant test reli exact order follow code copi attributeimpl could also use sax2 attribut convert sax1 dom attribut node also store sax2 attribut xxx jdk use linkedhashmap purpos jglick except order treatment refid number datatyp check refid set attribut set check work build script attribut refid attribut ant refid attribut process first,test_debt,117,train
todo turn paramet,code/design_debt,118,train
todo improv,code/design_debt,120,train
mayb move vector problem occur,code/design_debt,123,train
todo method doesnt appear use,code/design_debt,124,train
todo realli necessari,code/design_debt,125,train
program error bail,code/design_debt,126,train
program error bail,code/design_debt,128,train
todo replac proper except,code/design_debt,130,train
millisecond todo properti,code/design_debt,132,train
need implement visual testbeangui find correct gui class,code/design_debt,134,train
null sure,code/design_debt,135,train
todo implement nontext type,code/design_debt,136,train
need implement visual testbeangui find correct gui class todo remov unsharedcompon probabl make sens testbean,code/design_debt,138,train
nonnls1 todo use differ format,code/design_debt,139,train
notus long longsampl getsampl load node,code/design_debt,140,train
lead code smell meh care,code/design_debt,141,train
program error bail,code/design_debt,144,train
mayb move vector problem occur,code/design_debt,145,train
key messagesproperti lowercas histor reason,code/design_debt,146,train
use protect doubl data null,code/design_debt,147,train
program error bail,code/design_debt,148,train
program error bail,code/design_debt,149,train
todo effici,code/design_debt,150,train
todo use setfirst,code/design_debt,151,train
dom tree panel display respons tree view author hrefmailtodmaungmdlcomdav maunga todo implement find node tree use treepath,code/design_debt,153,train
todo method need public isnt current call outsid class,code/design_debt,154,train
use,code/design_debt,156,train
todo allow null nonprimit type,code/design_debt,159,train
todo need,code/design_debt,161,train
todo call start stop,code/design_debt,162,train
use,code/design_debt,163,train
todo believ follow code end method obsolet sinc namepanel longer seem gui compon,code/design_debt,164,train
method broken anyway,code/design_debt,165,train
todo sensibl number nonnls1,code/design_debt,166,train
todo work search xml pane,code/design_debt,167,train
todo sensibl,code/design_debt,168,train
return fragment text rather text fragment,code/design_debt,169,train
clear caus conflict version perhap,code/design_debt,170,train
todo valid contenttyp reason type,code/design_debt,172,train
mask valu testtyp todo remov either match contain mutual exckus,code/design_debt,173,train
todo ought filechoos,code/design_debt,174,train
allow jmeter render frame relat imag must done setcontenttyp,code/design_debt,175,train
todo use apart test code,code/design_debt,176,train
todo cleardata,code/design_debt,177,train
provid descript timer class todo ever use cant rememb remov isnt todo obtain text bean displaynam shortdescript return descript timer class,code/design_debt,178,train
