text,label,document_index,subset
assume curl handle,CODE,0,train
is cacheable,CODE,1,train
compatibility digest digest,CODE,5,train
use specific options get post otherwise perform custom request the putupload options nt appear work instead hanging forever,DEFECT,6,train
this callback cancel request,DEFECT,7,train
these drop replacements stringr functions used httr they retain functionality stringr used httr notably generally vectorized,CODE,8,train
default options httroauthcache na tested cache exist created interactive,TEST,9,train
skip travis avoid hammering ftp server nt seem able handle multiple simultaneous requests,ARCHITECTURE,10,train
must reuse ftp connection closed wrong time causing problems final test,TEST,11,train
quick hack create structure topics use existing selecttopics,CODE,12,train
reloading pkgdown s running causes weird behaviour context cache,ARCHITECTURE,13,train
work around mustache deficiency,BUILD,14,train
knitr takes function name user need load package,CODE,16,train
needs handle na desc descget,CODE,17,train
uris supported,DEFECT,19,train
update href toc anchors use instead,CODE,21,train
effectively nothing used parseitems split sequence tags,CODE,22,train
need unescape highlighttext tell s r code it ll reescape needed,CODE,23,train
the real location 404html dynamic relative root work use full url available,DEFECT,24,train
force inclusion reliably refer objects inside yaml moustache templates,CODE,25,train
get md5 digests recorded plots mergelowplot works,CODE,26,train
pkgdown probably installed,BUILD,29,train
github test buildignored prevent note unexpected hidden directory skip cmd check github directory presents,BUILD,31,train
github test buildignored prevent note unexpected hidden directory skip cmd check github directory present,BUILD,32,train
github test buildignored prevent note unexpected hidden directory skip cmd check github directory present,BUILD,33,train
unsupported formats left alone escaping special characters,CODE,34,train
ca nt embed package path long gives r cmd check note,DEFECT,36,train
fit call data dataframe xx consider replacing fit call matchcall consistency tidyness,CODE,37,train
choose model orders serial technically could combined code,CODE,38,train
why needed,CODE,39,train
trend estimation like stl without seasonality nonrobust version,ARCHITECTURE,40,train
functions remove outliers fill missing values time series nothing multiple seasonality yet,REQUIREMENTS,41,train
copied seasonal extractwnaaction importing problematic due issues arm processors,CODE,42,train
do nt use f resid may contain multiplicative errors,CODE,43,train
just avoid errors,CODE,44,train
needed moment,CODE,46,train
not sure would occur,DEFECT,47,train
not sure would occur,DEFECT,48,train
deprecated,CODE,49,train
length tt length how happen,CODE,50,train
time series objects assumed,DESIGN,51,train
use ggfortify version loaded prevent cran errors,BUILD,52,train
todo rewrite,CODE,53,train
draw forecast intervals todo find reliable method stacking correctly,CODE,55,train
not enough data much stop all values must positive,ALGORITHM,56,train
this happen,DEFECT,57,train
create trend season missing data tsvar if data formula,DESIGN,58,train
tsvar if data formula nonseasonal data season requested,DESIGN,59,train
check regressors included newdata not working removed,DEFECT,61,train
todo,CODE,62,train
what x,CODE,63,train
probably redundant check,CODE,65,train
use aic npar aicc wo nt work tiny samples,CODE,66,train
not sure ever happen,DEFECT,67,train
future currently implemented,REQUIREMENTS,69,train
this probably grossly inefficient i ca nt think better way right,ARCHITECTURE,70,train
calculate accuracy sd accross folds include,CODE,71,train
forecasts transformed manually boxcox match forecasts lambda passed argument,DEFECT,73,train
forecasts transformed manually boxcox match forecasts lambda passed argument,DEFECT,74,train
tests run travis parallel expectoutput print tbats woolyrnq numcores regexp tbats expectoutput print tbats elecsales numcores usetrend false regexp bats,TEST,75,train
originally x sort leaf always left x nt want assume leaf left,CODE,76,train
add graph attributes directed are officially supported,CODE,77,train
adhoc use freedmandiaconis binwidth rescale time accordingly,DESIGN,78,train
todo print tree,REQUIREMENTS,80,train
this tedious graph big always n1 internal nodes restrict say level default,ARCHITECTURE,82,train
todo make faster nt need whole matrix usually,ARCHITECTURE,83,train
nop,CODE,84,train
todo rewrite c make faster,ARCHITECTURE,85,train
c drops names zero length vectors why,DEFECT,86,train
todo better generic mechanism modifiers,CODE,87,train
todo speed,ARCHITECTURE,89,train
todo speed,ARCHITECTURE,90,train
we might need rename attributes,CODE,92,train
ca nt onload,CODE,93,train
old values,CODE,94,train
different kinds arrows drawn separately arrows handle vector code argument,CODE,96,train
could also parameters arrow width arrow length,CODE,97,train
new style parameters ca nt yet,CODE,98,train
