text,classification
xxx realli dont like xml processor still involv process better solut imo would creat project target process tree projecttarget deal attribut similar descript eventu switch add support dom thing work smooth avoid almost complet could still creat demand backward compat,code/design_debt
junit wrap solo test way extract origin test name littl hack,code/design_debt
xxx ignor attribut differ mayb store,code/design_debt
borrow tokenfiltertest,code/design_debt
xxx move project share helper,code/design_debt
properti suppos,code/design_debt
hack anttyp valu anttyp compon name namespac need extract name convert qualifi name urinam,code/design_debt
there conveni xsltc class version data privat use packag inform,code/design_debt
stolen orgapachexercesimplxmlentitymanagergetuserdir xercesj team ascii charact need escap,code/design_debt
bingo append normal done,code/design_debt
faint ridicul,code/design_debt
cannot remov underscor due protect visibl,code/design_debt
todo read yet public setter,code/design_debt
know object class multipl defin log,code/design_debt
sure could need,code/design_debt
xxx jon skeet reason write messag use bare runtimeexcept rather use buildexcept case messag could end written logger logger could fail creat due failur,code/design_debt
experimentaltest remov,code/design_debt
xxx instead make new protectiondomain codesourc correspond containertouritourl permissioncollect projectclassprotectiondomain,code/design_debt
realli irrit need way set stuff,code/design_debt
xxx convert sourc destin directori accord weblog standard written better hacki,code/design_debt
silli hack avoid stack overflow,code/design_debt
access properti tabl use support ant call similar task deprec possibl use better effici mechan preserv context,code/design_debt
xxx throw except instead,code/design_debt
temporari figur better api,code/design_debt
better way save context shouldnt deleg next backward compat,code/design_debt
quick fix antjava use properti initi project,code/design_debt
xxx use jcvs wwwicecomjcv instead command line execut dont reli nativ cvs stuff around,code/design_debt
two reason mention api doc filelist dir directori imposs wouldnt get case error occur doesnt throw except,code/design_debt
jakarta common log listen note use simplelog logger implement caus infinit loop sinc write systemerr ant trap rerout loggerlisten layer follow name use log orgapachetoolsantprojectprojectnam project event orgapachetoolsanttargettargetnam target event taskclassnametargetnam event individu target target project name replac todo use advanc context log featur expos first todo ineffici switch track log optim lot may requir chang core sinc ant,code/design_debt
todo use tasknam brittl user could overrid probabl modifi use classnam instead,code/design_debt
patholog case retain case somebodi subclass,code/design_debt
rather hairi case one subclass know need updat archiv time resourc known would need ad subclass seem know what go happen jar detect manifest chang exampl manifest part resourc support inlin manifest invok createemptyzip like ant 152 well loos stuff origin archiv bugzilla report 17780,code/design_debt
deprec use classespath futur,code/design_debt
xxx array stuff remnant prev trial gotta remov,code/design_debt
set number millisecond leeway give decid target date todo yet use param granular granular use decid target url,code/design_debt
may chang add advanc pars capabl,code/design_debt
assum everi output jike stand errorwarn xxx correct,code/design_debt
line hack system must uri cleat get uri resourc set name resourc system,code/design_debt
