,text,label,document_index
0,assume curl handle,CODE,0
1,is cacheable,CODE,1
5,compatibility digest digest,CODE,5
6,use specific options get post otherwise perform custom request the putupload options nt appear work instead hanging forever,DEFECT,6
7,this callback cancel request,DEFECT,7
8,these drop replacements stringr functions used httr they retain functionality stringr used httr notably generally vectorized,CODE,8
9,default options httroauthcache na tested cache exist created interactive,TEST,9
10,skip travis avoid hammering ftp server nt seem able handle multiple simultaneous requests,ARCHITECTURE,10
11,must reuse ftp connection closed wrong time causing problems final test,TEST,11
12,quick hack create structure topics use existing selecttopics,CODE,12
13,reloading pkgdown s running causes weird behaviour context cache,ARCHITECTURE,13
14,work around mustache deficiency,BUILD,14
16,knitr takes function name user need load package,CODE,16
17,needs handle na desc descget,CODE,17
19,uris supported,DEFECT,19
21,update href toc anchors use instead,CODE,21
22,effectively nothing used parseitems split sequence tags,CODE,22
23,need unescape highlighttext tell s r code it ll reescape needed,CODE,23
24,the real location 404html dynamic relative root work use full url available,DEFECT,24
25,force inclusion reliably refer objects inside yaml moustache templates,CODE,25
26,get md5 digests recorded plots mergelowplot works,CODE,26
29,pkgdown probably installed,BUILD,29
31,github test buildignored prevent note unexpected hidden directory skip cmd check github directory presents,BUILD,31
32,github test buildignored prevent note unexpected hidden directory skip cmd check github directory present,BUILD,32
33,github test buildignored prevent note unexpected hidden directory skip cmd check github directory present,BUILD,33
34,unsupported formats left alone escaping special characters,CODE,34
36,ca nt embed package path long gives r cmd check note,DEFECT,36
37,fit call data dataframe xx consider replacing fit call matchcall consistency tidyness,CODE,37
38,choose model orders serial technically could combined code,CODE,38
39,why needed,CODE,39
40,trend estimation like stl without seasonality nonrobust version,ARCHITECTURE,40
41,functions remove outliers fill missing values time series nothing multiple seasonality yet,REQUIREMENTS,41
42,copied seasonal extractwnaaction importing problematic due issues arm processors,CODE,42
43,do nt use f resid may contain multiplicative errors,CODE,43
44,just avoid errors,CODE,44
46,needed moment,CODE,46
47,not sure would occur,DEFECT,47
48,not sure would occur,DEFECT,48
49,deprecated,CODE,49
50,length tt length how happen,CODE,50
51,time series objects assumed,DESIGN,51
52,use ggfortify version loaded prevent cran errors,BUILD,52
53,todo rewrite,CODE,53
55,draw forecast intervals todo find reliable method stacking correctly,CODE,55
